fold,feature_set,buffer_range,rmse_mean,rmse_ci,r2_mean,r2_ci
4,all_features,500,6.206404965787021,0.033486242884420266,0.6892291163458711,0.003205642631693409
0,all_features,250,6.72707993770537,0.0368449942672334,0.5487047028465452,0.004139583845287846
1,all_features,250,6.8697417983259275,0.031182191100037664,0.6518033232591425,0.002916027376749447
2,all_features,250,6.746472601313691,0.03187105541590629,0.710219470995833,0.0025950977374709994
3,all_features,250,6.37997566770683,0.029149724499162255,0.7172422479897911,0.0026414067828614773
4,all_features,250,6.308951722865861,0.031874233874954826,0.6788792411155128,0.003144210308294996
0,all_features,200,6.703377189179266,0.03652748683698167,0.5518428549640233,0.004311973436022366
1,all_features,200,6.803303494147574,0.031384090614322804,0.6585071475125722,0.0030042879057143018
2,all_features,200,6.72563571554159,0.03142910804480847,0.7119953111225682,0.0026004750126030966
3,all_features,200,6.380498189586476,0.029277041975598217,0.7172033860936102,0.0026831970145975276
4,all_features,200,6.3123221887701435,0.030763029591572576,0.6785120995025582,0.0031983344893523518
0,all_features,150,6.886476208339242,0.03914813015993441,0.5270366393389361,0.004218317473548217
1,all_features,150,7.085940912741243,0.034487175872887056,0.6295406073493871,0.003119339355613583
2,all_features,150,6.909182801835805,0.03381655673029478,0.6960828367663416,0.002710320451651386
3,all_features,150,6.4131519220394,0.030525795693426297,0.7142993197699699,0.0026482641490976513
4,all_features,150,6.338239219568302,0.034003795278213574,0.6758661897872412,0.0032923208669255397
0,all_features,100,6.941519884113414,0.040220414361087226,0.5193830315468964,0.004456718688786337
1,all_features,100,7.109113027764135,0.03409705801340462,0.6271058740094895,0.003174451501468089
2,all_features,100,6.950117338074667,0.03425034597876293,0.6924789035718794,0.0028377933996001116
3,all_features,100,6.521763730015279,0.031219155963692315,0.7045378175229557,0.002864444436949072
4,all_features,100,6.456539185155978,0.03376459080812821,0.6636900050059036,0.003474491465174092
0,all_features,50,7.03377645573506,0.03947601498598075,0.5065429391989428,0.00453528527210013
1,all_features,50,7.297257526097269,0.034893955742059474,0.6070983608218997,0.0032787158113876673
2,all_features,50,7.096240353063066,0.03415552323203506,0.6793795200451419,0.002880578188487735
3,all_features,50,6.678069580619329,0.032069007812224035,0.6902115650801783,0.0029867319623976497
4,all_features,50,6.560197026973798,0.034731569206507315,0.6527839461099909,0.0035715305484912
0,landuse_and_time,50-1000,6.7336724187064885,0.0401495374857179,0.5477354585450684,0.0045430606591479955
1,landuse_and_time,50-1000,6.731210944192106,0.030983882552360273,0.6657007657756603,0.0029231251419146336
2,landuse_and_time,50-1000,6.60170719326547,0.031179314062876887,0.7225123656935192,0.0025516292725827473
3,landuse_and_time,50-1000,6.211512546268425,0.03013505649373304,0.7319735315777636,0.0026665293203613494
4,landuse_and_time,50-1000,6.242817735977891,0.033152146828138995,0.6855552528806554,0.0032740007901692052
0,landuse_and_time,50-500,6.8704041402645775,0.041635377278400686,0.5292035386024717,0.004766304506285338
1,landuse_and_time,50-500,6.849937047111198,0.03262387696044165,0.6538164917232859,0.0031102390012426894
2,landuse_and_time,50-500,6.73076549721625,0.03280586284468495,0.711573229361391,0.0026514084279701078
3,landuse_and_time,50-500,6.226237199186602,0.030797620353043478,0.7306935144049616,0.00268169249532213
4,landuse_and_time,50-500,6.253946114429263,0.03438300820923542,0.6844364472977409,0.0033526734711423092
0,landuse_and_time,50-250,7.11567469611516,0.04258817350349248,0.49499869526244883,0.004897830347268589
1,landuse_and_time,50-250,7.280788345159318,0.03662222631755161,0.6089022394077102,0.0035275457731145186
2,landuse_and_time,50-250,7.263390406423364,0.0367128848149984,0.6641208220346874,0.003199887662237813
3,landuse_and_time,50-250,6.544734756269832,0.03292457253546558,0.7024598112202404,0.002962508080092621
4,landuse_and_time,50-250,6.623384179903682,0.03774522705447304,0.6460832321079358,0.003827578045218126
0,landuse_and_time,50-200,7.287832660605065,0.04510958531256148,0.4703001706217263,0.005109889474529612
1,landuse_and_time,50-200,7.500203059083119,0.03821393109716155,0.5849641037260741,0.003666463544971604
2,landuse_and_time,50-200,7.494374754394055,0.037141670661107254,0.6424138067864099,0.003337026644015524
3,landuse_and_time,50-200,6.75577735007156,0.033500490149521236,0.6829482480918324,0.0030955863904209104
4,landuse_and_time,50-200,6.910411548169801,0.03871455621818061,0.614722833080374,0.003999726281257684
0,landuse_and_time,50-150,7.37131163459388,0.04389401770966313,0.45808252164009755,0.005108204468778103
1,landuse_and_time,50-150,7.715697616215593,0.040452560457056586,0.5607738704294255,0.003952966720832886
2,landuse_and_time,50-150,7.663290332322405,0.03880769677465683,0.6260937782320002,0.0034150970338386964
3,landuse_and_time,50-150,6.807566233090512,0.034266688345686754,0.6780781970228928,0.003164506299715972
4,landuse_and_time,50-150,6.904603924063824,0.038619322407475225,0.6153747217973196,0.004001342332994227
0,landuse_and_time,50-100,7.773350688471239,0.04582183295648442,0.397344961798423,0.0053879241897857
1,landuse_and_time,50-100,8.326890835685814,0.04173499765471882,0.4884042806233487,0.004172949719116796
2,landuse_and_time,50-100,8.417613728755962,0.041823709185714944,0.5488944105453414,0.004011987988250992
3,landuse_and_time,50-100,7.517384058376613,0.03843183849066036,0.6074385781256858,0.0037656841266696392
4,landuse_and_time,50-100,7.578636138146033,0.042765161598189425,0.5365814806602112,0.0045499157093112945
0,landuse_and_time,1000,8.251235134510393,0.04609304785616086,0.321056505953454,0.005529852278355649
1,landuse_and_time,1000,9.055018969619455,0.04562581675785953,0.39499318000491995,0.004847721432414098
2,landuse_and_time,1000,9.60216025779137,0.04552518777576117,0.4129440037312828,0.004782410386644576
3,landuse_and_time,1000,8.812588269569808,0.04263362557502866,0.4605348150045777,0.0046717928771093905
4,landuse_and_time,1000,8.685837566777785,0.04543655428788595,0.39129366135854204,0.005355615344568117
0,landuse_and_time,500,8.206176939040807,0.045495528425067204,0.32835547578023666,0.005585535555753241
1,landuse_and_time,500,8.95548101267651,0.04493819397800811,0.40824694073261264,0.0048801584295110716
2,landuse_and_time,500,9.52425840831882,0.04616253546004044,0.42247422510522203,0.004816464297855841
3,landuse_and_time,500,8.754017378764427,0.0428151216654037,0.46765978661668034,0.004639759706478931
4,landuse_and_time,500,8.628390107218177,0.04544935898995534,0.39931515109982374,0.005371574492712482
0,landuse_and_time,250,8.218505110888232,0.0464413572607388,0.32635888147217257,0.005566237961688367
1,landuse_and_time,250,8.987649656196462,0.04470083676808176,0.4040073943122535,0.0048094127231932265
2,landuse_and_time,250,9.55497317140399,0.04522574033157854,0.4187087447934018,0.0047157988471638775
3,landuse_and_time,250,8.778242776912807,0.04380926777660442,0.46472619740587023,0.004681678974177487
4,landuse_and_time,250,8.650205882206567,0.04614695124666091,0.396289498664842,0.00531497691727042
0,landuse_and_time,200,8.202183006626255,0.046026395039833363,0.32909434610933974,0.005523122927970214
1,landuse_and_time,200,8.942165228220935,0.04455668062191834,0.41003371061207644,0.004822984264684252
2,landuse_and_time,200,9.517947150618937,0.04525746362236026,0.42323489244769663,0.004753609860775662
3,landuse_and_time,200,8.723536570997748,0.04283409007945107,0.471358706471372,0.004691476130004025
4,landuse_and_time,200,8.610966549003308,0.04599521168618522,0.4017340908231061,0.00536243866540243
0,landuse_and_time,150,8.181469089450653,0.04621200275552047,0.3324267613671057,0.0056882810276590885
1,landuse_and_time,150,8.90640517378468,0.04462877609840342,0.4146949543945769,0.004885235268591613
2,landuse_and_time,150,9.477764709912076,0.04535050284735657,0.4280632176521942,0.00472645068612065
